NOMBRE_INSTRUMENTO,FOLIO_INSTRUMENTO,ROL_A_EVALUAR,ROL_EVALUADOR,TUTORIZADO,NOMBRE_SECCION,NOMBRE_INDICADOR,NO_PREGUNTA,PREGUNTA_BONO,OBLIGADA,PREGUNTA,NO_APLICA,VALIDO_NO_APLICA,NO_ENVIO_MENSAJE,SI,NO,SIEMPRE,CASI_SIEMPRE,ALGUNAS_VECES,CASI_NUNCA,NUNCA,RESPUESTA_ABIERTA,TIPO_INSTRUMENTO,EVA_TIPO
Encuesta de satisfacción para Alumnos,ATT0916T7,TUTOR_TITULAR,ALUMNO,SI,NA,NA2,1,NO,NO,Participó voluntariamente en el curso,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Alumnos,ATT0916T7,TUTOR_TITULAR,ALUMNO,SI,NA,NA2,2,SI,SI,El tutor colocó un mensaje de bienvenida en el Foro de novedades y anuncios al inicio del curso.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Alumnos,ATT0916T7,TUTOR_TITULAR,ALUMNO,SI,El mensaje de bienvenida:,NA2,3,SI,SI,Resultó motivador para iniciar las actividades del curso.,,,SI,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Alumnos,ATT0916T7,TUTOR_TITULAR,ALUMNO,SI,El mensaje de bienvenida:,NA2,4,SI,SI,Señaló la utilidad que tendría el curso para usted.,,,SI,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Alumnos,ATT0916T7,TUTOR_TITULAR,ALUMNO,SI,El mensaje de bienvenida:,NA2,5,SI,SI,Le proporcionó los elementos para comunicarse a mesa de ayuda en caso necesario.,,,SI,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Alumnos,ATT0916T7,TUTOR_TITULAR,ALUMNO,SI,El mensaje de bienvenida:,NA2,6,SI,SI,Le proporcionó los elementos para comunicarse con el tutor en caso de alguna duda.,,,SI,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Alumnos,ATT0916T7,TUTOR_TITULAR,ALUMNO,SI,El tutor:,NA2,7,SI,SI,Le informó sobre la existencia del Foro social y el objetivo del mismo.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Alumnos,ATT0916T7,TUTOR_TITULAR,ALUMNO,SI,El tutor:,NA2,8,SI,SI,Le informó la existencia del Foro de dudas y el objetivo del mismo.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Alumnos,ATT0916T7,TUTOR_TITULAR,ALUMNO,SI,El tutor:,NA2,9,SI,SI,Colocó un mensaje inicial en el Foro de dudas motivando su uso.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Alumnos,ATT0916T7,TUTOR_TITULAR,ALUMNO,SI,El tutor:,NA2,10,NO,NO,"Le Informó sobre la existencia del Foro de novedades y anuncios, así como el objetivo del mismo.",SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
