NOMBRE_INSTRUMENTO,FOLIO_INSTRUMENTO,ROL_A_EVALUAR,ROL_EVALUADOR,TUTORIZADO,NOMBRE_SECCION,NOMBRE_INDICADOR,NO_PREGUNTA,PREGUNTA_BONO,OBLIGADA,PREGUNTA,NO_APLICA,VALIDO_NO_APLICA,NO_ENVIO_MENSAJE,SI,NO,SIEMPRE,CASI_SIEMPRE,ALGUNAS_VECES,CASI_NUNCA,NUNCA,RESPUESTA_ABIERTA,TIPO_INSTRUMENTO,EVA_TIPO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,1,SI,SI,Ingresó a la plataforma educativa 5 días hábiles antes de la apertura del curso.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,2,SI,SI,En caso de problema de acceso se comunicó por correo electrónico o vía telefónica a mesa de ayuda.,SI,SI,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,3,SI,SI,Envió bienvenida a los tutores mediante mensajería de plataforma educativa.,,SI,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,4,SI,SI,"En el mensaje de bienvenida, proporcionó nombre completo, correo electrónico y señaló la existencia del servicio de mensajería de la plataforma, para facilitar su localización en caso de alguna duda por parte de los tutores.",,,SI,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,5,SI,SI,Comunicó a los tutores a su cargo las fechas de inicio y término del curso.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,6,SI,SI,Resolvió la solicitud de apoyo por parte de los tutores en el aspecto tecnológico.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,7,SI,SI,Atendió la solicitud de apoyo por parte de los tutores en relación a los contenidos.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,8,SI,SI,Verificó el ingreso de los tutores al curso a más tardar 5 días antes del inicio del mismo.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,9,SI,SI,Se comunicó vía correo electrónico o vía telefónica con el tutor que no ha ingresado a fin de identificar si tuvo algún problema de acceso o disponibilidad para ingresar al curso.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,10,SI,SI,En caso de ausencia de respuesta de un tutor que no ingresó notificó al coordinador de curso sobre la problemática presentada y solicitó valorar la baja del tutor.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,11,SI,SI,"En caso de baja de un tutor que no ingresó, participó en la elección de otro tutor en común acuerdo con el coordinador de curso.",SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,12,SI,SI,Asumió temporalmente las funciones de los tutores ausentes.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,13,SI,SI,Solicitó a los tutores dar la bienvenida a los alumnos.,,,,SI,SI,,,,,,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,14,SI,NO,Verificó que los tutores iniciaran el tema de discusión en el foro correspondiente a su grupo.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,15,SI,NO,"En caso de que un tutor haya iniciado un foro en el grupo incorrecto, solicitó al coordinador de curso se eliminara el tema del grupo equivocado y se realizara de forma adecuada.",SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,16,SI,SI,Solicitó mediante mensajería de plataforma educativa a los tutores el reporte de las acciones realizadas con los alumnos que no ingresaron.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,17,SI,SI,Retroinformó el reporte procedente de los tutores sobre las acciones realizadas con los alumnos que no ingresaron.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,18,SI,SI,Notificó al tutor a través de mensajería de la plataforma educativa las acciones definitivas a seguir con los alumnos.,,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,19,SI,SI,Dio seguimiento a las acciones solicitadas a los tutores relativas a los alumnos que no ingresaron.,SI,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
Evaluación del desempeño del Coordinador de tutores,CCCT0122,COORDINADOR_TUTORES,COORDINADOR_CURSO,SI,Nak2,NA2,20,SI,SI,Motivó a los tutores para continuar con sus actividades.,,,,,,SI,SI,SI,SI,SI,,DESEMPENIO,POR_USUARIO
