NOMBRE_INSTRUMENTO,FOLIO_INSTRUMENTO,ROL_A_EVALUAR,ROL_EVALUADOR,TUTORIZADO,NOMBRE_SECCION,NOMBRE_INDICADOR,NO_PREGUNTA,PREGUNTA_BONO,OBLIGADA,PREGUNTA,NO_APLICA,VALIDO_NO_APLICA,NO_ENVIO_MENSAJE,SI,NO,SIEMPRE,CASI_SIEMPRE,ALGUNAS_VECES,CASI_NUNCA,NUNCA,RESPUESTA_ABIERTA,TIPO_INSTRUMENTO,EVA_TIPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,Antes del inicio del curso:,NA2,1,SI,,Recibió la confirmación de su participación en el curso con el suficiente tiempo de anticipación?,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,Antes del inicio del curso:,NA2,2,SI,,Recibió con la suficiente anticipación sus claves de acceso para ingresar a la plataforma educativa.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,Antes del inicio del curso:,NA2,3,SI,,"Se le permitió ingresar al curso diez días hábiles antes de su inicio para poder revisar la ""estructura"", contenidos, actividades y evaluaciones.",SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,Antes del inicio del curso:,NA2,4,SI,,Accedió a la plataforma sin ninguna dificultad.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,Antes del inicio del curso:,NA2,5,SI,,En el caso de haber planteado alguna duda a mesa de ayuda sobre el ingreso a la plataforma le resolvieron el problema.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,Antes del inicio del curso:,NA2,6,SI,SI,El coordinador de tutores le informó sobre el mecanismo para notificarle los problemas del curso antes de la apertura a los alumnos.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,Antes del inicio del curso:,NA2,7,SI,,Se registró la lectura que realizó de los contenidos correctamente.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,En relación con los contenidos:,NA2,8,SI,,La forma en que se presenta la información en la página inicial del curso le facilitó el acceso a los materiales.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,En relación con los contenidos:,NA2,9,SI,,La forma en que se presenta la información en la página inicial del curso facilitó a los alumnos el acceso a los materiales.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,En relación con los contenidos:,NA2,10,SI,,Fueron acordes a los objetivos del curso.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,En relación con los contenidos:,NA2,11,SI,,Los temas fueron abordados con una profundidad adecuada.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
Encuesta de satisfacción para Tutores,TT-CT09-16T6,COORDINADOR_TUTORES,TUTOR_TITULAR,SI,En relación con los contenidos:,NA2,12,SI,,El material se presentó de una manera atractiva.,SI,SI,,SI,SI,,,,,,,SATISFACCION,POR_GRUPO
