NOMBRE_INSTRUMENTO,FOLIO_INSTRUMENTO,ROL_A_EVALUAR,ROL_EVALUADOR,TUTORIZADO,NOMBRE_SECCION,NOMBRE_INDICADOR,NO_PREGUNTA,PREGUNTA_BONO,OBLIGADA,PREGUNTA,NO_APLICA,VALIDO_NO_APLICA,NO_ENVIO_MENSAJE,SI,NO,SIEMPRE,CASI_SIEMPRE,ALGUNAS_VECES,CASI_NUNCA,NUNCA,RESPUESTA_ABIERTA,TIPO_INSTRUMENTO,EVA_TIPO
Encuesta de satisfacción para Coordinador de Tutores,CT a CC,COORDINADOR_CURSO,COORDINADOR_TUTORES,SI,Antes del inicio del curso:,NA2,1,NO,,Recibió la confirmación de su participación en el curso con el suficiente tiempo de anticipación.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_USUARIO
Encuesta de satisfacción para Coordinador de Tutores,CT a CC,COORDINADOR_CURSO,COORDINADOR_TUTORES,SI,Antes del inicio del curso:,NA2,2,NO,,Recibió con la suficiente anticipación sus claves de acceso para ingresar a la plataforma educativa.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_USUARIO
Encuesta de satisfacción para Coordinador de Tutores,CT a CC,COORDINADOR_CURSO,COORDINADOR_TUTORES,SI,Antes del inicio del curso:,NA2,3,NO,,"Se le permitió ingresar al curso 5 días hábiles antes de su inicio para poder revisar la estructura, contenidos, actividades y evaluaciones.",SI,,,SI,SI,,,,,,,SATISFACCION,POR_USUARIO
Encuesta de satisfacción para Coordinador de Tutores,CT a CC,COORDINADOR_CURSO,COORDINADOR_TUTORES,SI,Antes del inicio del curso:,NA2,4,NO,,Accedió a la plataforma sin ninguna dificultad.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_USUARIO
Encuesta de satisfacción para Coordinador de Tutores,CT a CC,COORDINADOR_CURSO,COORDINADOR_TUTORES,SI,Antes del inicio del curso:,NA2,5,NO,,En el caso de haber planteado alguna duda a mesa de ayuda sobre el ingreso a la plataforma le resolvieron el problema.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_USUARIO
Encuesta de satisfacción para Coordinador de Tutores,CT a CC,COORDINADOR_CURSO,COORDINADOR_TUTORES,SI,Antes del inicio del curso:,NA2,6,SI,,El coordinador de curso le informó sobre el mecanismo para notificarle los problemas del curso antes de la apertura a los alumnos.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_USUARIO
Encuesta de satisfacción para Coordinador de Tutores,CT a CC,COORDINADOR_CURSO,COORDINADOR_TUTORES,SI,Antes del inicio del curso:,NA2,7,NO,,Se registró la lectura que realizó de los contenidos correctamente.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_USUARIO
Encuesta de satisfacción para Coordinador de Tutores,CT a CC,COORDINADOR_CURSO,COORDINADOR_TUTORES,SI,En relación con los contenidos:,NA2,8,NO,,La forma en que se presenta la información en la página inicial del curso le facilitó el acceso a los materiales.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_USUARIO
Encuesta de satisfacción para Coordinador de Tutores,CT a CC,COORDINADOR_CURSO,COORDINADOR_TUTORES,SI,En relación con los contenidos:,NA2,9,NO,,La forma en que se presenta la información en la página inicial del curso facilitó a los tutores y alumnos el acceso a los materiales.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_USUARIO
Encuesta de satisfacción para Coordinador de Tutores,CT a CC,COORDINADOR_CURSO,COORDINADOR_TUTORES,SI,En relación con los contenidos:,NA2,10,NO,,Fueron acordes a los objetivos del curso.,SI,,,SI,SI,,,,,,,SATISFACCION,POR_USUARIO
