NOMBRE_INSTRUMENTO,CLAVE_INSTRUMENTO,ROL_A_EVALUAR,ROL_EVALUADOR,TUTORIZADO,NOMBRE_SECCION,NO_PREGUNTA,PREGUNTA_BONO,OBLIGADA,PREGUNTA,ES_NULO,SI,NO,SIEMPRE,CASI_SIEMPRE,ALGUNAS_VECES,CASI_NUNCA,NUNCA,RESPUESTA_ABIERTA
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,NA,1,SI,SI,Participó voluntariamente en el curso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,NA,2,SI,SI,El coordinador de curso colocó un mensaje de bienvenida en el Foro de novedades y anuncios al inicio del curso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El mensaje de bienvenida:,3,SI,SI,Resultó motivador para iniciar las actividades del curso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El mensaje de bienvenida:,4,SI,SI,Señaló la utilidad que tendría el curso para usted,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El mensaje de bienvenida:,5,SI,SI,Le proporcionó los elementos para comunicarse a mesa de ayuda en caso necesario,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El mensaje de bienvenida:,6,SI,SI,Le proporcionó los elementos para comunicarse con el coordinador de curso en caso de alguna duda,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,7,SI,SI,Le informó sobre la existencia del Foro social y el objetivo del mismo,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,8,SI,SI,Le informó la existencia del Foro de dudas y el objetivo del mismo,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,9,SI,SI,Colocó un mensaje inicial en el Foro de dudas motivando su uso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,10,SI,SI,"Le Informó sobre la existencia del Foro de novedades y anuncios, así como el objetivo del mismo",SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,11,SI,SI,Le orientó sobre las causas e implicaciones de la falta de registro de lectura de los contenidos en plataforma,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,12,SI,SI,Siempre respondió las dudas que planteó en el Foro de dudas,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,13,SI,SI,Respondió con un tiempo menor de 24 horas las dudas que presentó en el foro correspondiente,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,14,SI,SI,Respondió adecuadamente a sus dudas para visualizar los empaquetados,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,15,SI,SI,Cuando planteó alguna duda sobre el contenido le respondió pertinentemente de acuerdo a lo revisado en el curso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,16,SI,SI,Le retroinformó con base en los contenidos del curso cuando expresó alguna duda sobre una evaluación,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,17,SI,SI,Le dio una respuesta pertinente en el caso de que usted le planteara una inconformidad sobre el reactivo de una evaluación,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,18,SI,SI,Le dio un trato respetuoso durante el curso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,El coordinador de curso:,19,SI,SI,Le envió un mensaje en plataforma de conclusión del curso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,Presentación del curso:,20,SI,SI,La información en la página inicial le permitió conocer la manera en que está estructurado el curso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,Presentación del curso:,21,SI,SI,La información contenida en los documentos ubicados en la sección (Información general del curso) le proporcionó los elementos para el uso de los recursos que provee la plataforma,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,Presentación del curso:,22,SI,SI,La página inicial le permite ubicar fácilmente los datos de contacto de mesa de ayuda,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,23,SI,SI,La forma en que se presenta la información en la página inicial del curso facilitó el acceso a los materiales,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,24,SI,SI,Fueron acordes al nombre del curso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,25,SI,SI,Los temas estuvieron de acuerdo con los objetivos del curso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,26,SI,SI,Se abordaron con una profundidad adecuada,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,27,SI,SI,Se presentaron de una manera atractiva,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,28,SI,SI,Tienen que ver claramente con su trabajo en el Instituto,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,29,SI,SI,Lo aprendido en el curso tiene una aplicación inmediata para su trabajo en el Instituto,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,30,SI,SI,Le pareció adecuado el tiempo necesario para su lectura,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,31,SI,SI,Tienen la extensión adecuada,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,32,SI,SI,La forma en que se presentaron los temas facilitó su lectura,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,En relación con los contenidos:,33,SI,SI,Su presentación le motivó a avanzar en el curso,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,Plataforma:,34,SI,SI,Recibió anticipadamente sus claves de acceso para ingresar a la plataforma educativa,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,Plataforma:,35,SI,SI,Accedió al curso sin ninguna dificultad,SI,SI,SI,,,,,,
Encuesta de satisfacción para Alumnos,ACC0916T10,COORDINADOR_CURSO,ALUMNO,SI,Plataforma:,36,SI,SI,Logró visualizar los materiales sin ningún problema,SI,SI,SI,,,,,,
